country_name,continent,year,happiness,GDP,life_expect,freedom,corruption,total_pop
Dominican Republic,North America,2019,6.004,9.808,64,0.877,0.746,10881882
Bosnia and Herzegovina,Europe,2019,6.016,9.591,67.2,0.722,0.963,3360711
Thailand,Asia,2019,6.022,9.798,68.3,0.898,0.877,71307763
Estonia,Europe,2019,6.035,10.496,69.2,0.887,0.576,1326898
Lithuania,Europe,2019,6.064,10.524,66.7,0.78,0.783,2794137
Argentina,South America,2019,6.086,10.002,67.1,0.817,0.83,44938712
Panama,North America,2019,6.086,10.359,68.7,0.883,0.869,4232532
Portugal,Europe,2019,6.095,10.462,71,0.882,0.915,10286263
Kuwait,Asia,2019,6.106,10.765,70.1,0.867,NA,4441100
Nicaragua,North America,2019,6.113,8.585,65.5,0.883,0.622,6663924
Romania,Europe,2019,6.13,10.309,66.8,0.848,0.954,19371648
Cyprus,Asia,2019,6.137,10.639,72.4,0.74,0.865,1228836
Uzbekistan,Asia,2019,6.154,8.902,64.7,0.97,0.511,33580350
Mauritius,Africa,2019,6.241,10.072,63.9,0.893,0.81,1265985
Serbia,Europe,2019,6.241,9.815,66.9,0.753,0.813,6945235
Poland,Europe,2019,6.242,10.409,68.7,0.883,0.696,37965475
Slovakia,Europe,2019,6.243,10.373,68.5,0.771,0.926,5454147
Guatemala,North America,2019,6.262,9.068,62.3,0.901,0.773,16604026
Philippines,Asia,2019,6.268,9.075,62,0.91,0.748,110380804
Kazakhstan,Asia,2019,6.272,10.179,65,0.852,0.708,18513673
Jamaica,North America,2019,6.309,9.234,66.6,0.891,0.885,2813773
Colombia,South America,2019,6.35,9.59,69,0.822,0.854,50187406
Singapore,Asia,2019,6.378,11.496,73.6,0.938,0.07,5703569
Kosovo,Europe,2019,6.425,9.334,NA,0.841,0.92,1788878
Mexico,North America,2019,6.432,9.907,65.8,0.903,0.809,125085311
Italy,Europe,2019,6.445,10.663,71.9,0.709,0.866,59729081
Brazil,South America,2019,6.451,9.595,65.4,0.83,0.762,211782878
El Salvador,North America,2019,6.455,9.107,64.9,0.877,0.682,6280217
Spain,Europe,2019,6.457,10.615,72.1,0.778,0.73,47134837
Taiwan Province of China,Asia,2019,6.537,10.797,NA,0.814,0.718,NA
Saudi Arabia,Asia,2019,6.561,10.713,64,0.891,NA,35827362
Uruguay,South America,2019,6.6,10.054,67.5,0.903,0.599,3428409
Slovenia,Europe,2019,6.665,10.572,70.7,0.945,0.785,2088385
France,Europe,2019,6.69,10.735,72.1,0.827,0.568,67388001
United Arab Emirates,Asia,2019,6.711,11.181,66,0.911,NA,9211657
Malta,Europe,2019,6.733,10.724,71.5,0.924,0.689,504062
Belgium,Europe,2019,6.772,10.859,70.6,0.776,0.672,11488980
United States,North America,2019,6.944,11.043,66.1,0.836,0.707,328329953
Costa Rica,North America,2019,6.998,9.944,70,0.927,0.836,5084532
Germany,Europe,2019,7.035,10.894,70.9,0.885,0.462,83092962
Bahrain,Asia,2019,7.098,10.815,65.9,0.907,NA,1494188
Canada,North America,2019,7.109,10.803,71.3,0.912,0.436,37601230
United Kingdom,Europe,2019,7.157,10.766,70.1,0.854,0.485,66836327
Austria,Europe,2019,7.195,10.93,70.9,0.903,0.457,8879920
New Zealand,Oceania,2019,7.205,10.672,70.2,0.912,0.234,4979200
Australia,Oceania,2019,7.234,10.807,70.9,0.918,0.43,25340217
Ireland,Europe,2019,7.255,11.37,71.1,0.892,0.373,4934340
Israel,Asia,2019,7.332,10.617,72.4,0.834,0.743,9054000
Sweden,Europe,2019,7.398,10.875,71.9,0.942,0.25,10278887
Luxembourg,Europe,2019,7.404,11.649,71.6,0.93,0.39,620001
Netherlands,Europe,2019,7.425,10.947,71.4,0.886,0.36,17344874
Norway,Europe,2019,7.442,11.073,71.4,0.954,0.271,5347896
Iceland,Europe,2019,7.533,10.949,72,0.959,0.699,360563
Denmark,Europe,2019,7.693,10.948,71,0.963,0.174,5814422
Switzerland,Europe,2019,7.694,11.168,72.5,0.913,0.294,8575280
Finland,Europe,2019,7.78,10.791,71,0.948,0.195,5521606
